tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
1,2,2,1,1,1,3,5,29.0,0,29
1,1,0,0,1,1,3,10,27.0,0,29
0,0,1,0,0,0,1,7,38.0,0,29
1,2,2,1,0,1,3,7,29.0,1,27
0,1,1,0,0,1,3,3,24.0,1,28
1,1,1,1,1,1,3,10,30.0,0,28
1,2,2,0,0,1,2,7,32.0,1,29
1,2,0,1,1,1,3,10,37.0,1,29
0,2,0,0,0,1,3,0,36.0,1,29
0,2,0,1,1,1,3,10,52.0,1,29
1,2,2,1,0,1,3,10,30.0,1,29
0,0,0,0,1,0,2,10,29.0,1,29
1,2,2,0,0,1,3,10,37.0,2,29
1,2,2,1,1,1,3,7,29.0,0,29
1,2,2,1,1,1,3,8,39.0,0,29
1,2,2,1,1,1,3,9,30.0,0,29
1,2,1,1,1,1,3,8,23.0,0,29
1,2,2,0,0,1,2,1,29.0,0,29
1,2,0,1,1,1,3,10,38.0,1,29
1,2,1,0,0,1,3,7,41.0,0,29
1,2,2,0,1,1,1,10,47.0,1,29
1,2,1,0,0,1,3,9,56.0,0,29
1,0,0,0,0,1,2,3,22.0,1,29
1,2,2,1,1,1,3,7,32.0,0,29
1,2,1,0,0,1,3,10,31.0,2,29
1,2,2,1,1,1,3,7,36.0,1,29
1,2,0,1,1,1,3,10,32.0,1,29
1,2,1,1,1,1,3,7,37.0,0,29
0,0,1,0,0,1,2,5,29.0,1,29
1,2,1,0,1,1,3,8,31.0,0,29
1,2,2,0,1,1,3,8,39.0,1,29
1,0,0,0,1,1,1,6,38.0,1,28
1,2,2,0,1,1,1,7,33.0,0,29
1,2,0,0,1,1,2,5,36.0,0,29
1,1,1,0,0,0,1,0,30.0,0,29
1,2,2,1,1,1,3,10,38.0,1,29
1,1,1,1,1,1,3,7,35.0,0,3
1,2,1,1,1,1,3,10,26.0,1,29
0,0,2,0,0,1,2,6,25.0,1,28
1,1,2,0,0,0,1,5,40.0,1,29
1,2,1,0,0,1,1,4,31.0,1,3
1,2,0,0,1,1,2,4,49.0,1,29
1,0,1,0,0,1,2,4,30.0,1,19
0,0,0,0,0,0,0,7,35.0,1,29
0,2,1,0,1,1,3,10,46.0,1,29
1,0,0,0,0,1,2,5,29.0,0,29
0,2,1,0,0,1,3,2,22.0,1,29
1,0,0,0,0,1,2,0,39.0,1,29
0,1,2,1,1,1,3,6,40.0,1,28
1,2,2,0,0,1,1,8,31.0,1,29
0,2,0,0,0,1,3,2,45.0,1,29
1,2,2,0,1,1,3,7,31.0,0,29
0,0,1,0,0,1,3,8,28.0,0,29
1,2,2,0,0,1,2,4,37.0,1,28
1,1,1,0,0,1,2,3,54.0,1,29
1,2,2,0,0,1,3,8,45.0,0,29
1,2,1,1,1,1,3,10,36.0,1,29
0,2,2,0,1,1,3,9,34.0,0,29
1,2,2,0,0,1,1,10,28.0,1,29
0,2,2,0,0,1,2,3,32.0,1,29
1,0,2,0,0,0,3,6,52.0,0,29
1,0,1,0,0,1,2,7,33.0,1,29
1,2,0,0,1,1,3,7,41.0,0,29
1,2,2,0,0,1,1,6,25.0,0,29
1,2,1,0,0,1,1,10,36.0,2,29
1,1,1,0,1,1,1,8,37.0,1,3
0,2,2,0,1,1,2,5,42.0,1,29
0,0,1,1,1,1,3,9,35.0,0,29
1,0,0,0,0,1,0,6,23.0,1,29
1,2,0,1,1,1,3,8,35.0,0,29
1,2,2,1,1,1,3,7,34.0,0,29
1,0,0,0,0,1,2,1,24.0,0,29
1,2,2,1,1,1,3,9,38.0,1,29
1,1,1,1,0,1,3,0,42.0,1,28
1,2,2,0,0,1,0,5,23.0,0,29
1,2,2,1,1,1,2,7,39.0,2,29
1,2,2,0,0,1,3,10,30.0,1,29
1,2,2,1,1,1,0,5,35.0,0,29
1,2,1,0,0,1,1,8,24.0,0,29
1,2,0,0,0,1,2,6,35.0,1,29
1,2,1,1,1,1,2,4,30.0,1,29
1,0,1,1,0,0,1,8,28.0,0,29
1,2,0,0,1,1,3,7,32.0,0,29
1,2,2,0,0,1,2,6,34.0,1,29
1,2,1,0,1,1,3,8,33.0,1,29
1,2,0,1,1,1,1,8,32.0,1,29
1,2,2,1,1,1,1,5,27.0,0,29
0,1,0,1,1,1,3,4,30.0,1,19
1,2,2,1,1,1,3,10,34.0,0,29
1,2,2,0,0,1,0,7,32.0,1,29
1,0,1,0,0,0,3,6,41.0,0,29
1,2,1,0,1,1,3,7,37.0,1,29
1,0,0,0,0,0,1,7,26.0,1,29
1,0,0,0,1,1,2,5,24.0,1,29
1,2,1,1,1,1,3,10,44.0,1,29
1,0,1,0,0,1,1,9,40.0,1,8
0,2,2,1,1,1,3,5,27.0,2,29
1,0,1,0,0,0,2,6,40.0,1,29
0,2,2,1,1,1,3,9,38.0,0,29
1,2,2,1,1,1,3,6,34.0,1,29
0,2,0,0,0,1,2,7,34.0,1,29
1,1,1,0,0,1,1,5,26.0,1,29
1,2,2,1,1,1,3,9,39.0,1,29
0,1,2,1,0,1,3,6,33.0,2,28
0,2,1,1,1,1,3,9,37.0,0,29
0,0,0,0,0,1,1,10,30.0,1,29
1,1,1,0,0,1,1,9,22.0,1,28
1,0,0,0,0,1,1,8,51.0,0,29
0,2,0,0,0,1,3,2,24.0,1,29
1,2,2,0,0,1,3,5,37.0,1,29
0,2,2,0,0,1,1,8,46.0,1,29
0,2,1,1,0,1,3,5,50.0,1,29
1,2,2,0,1,1,3,7,30.0,1,29
1,0,1,1,0,1,1,10,27.0,1,29
1,2,0,1,1,1,3,10,32.0,1,29
1,2,1,1,0,1,3,8,34.0,1,29
1,2,2,1,1,1,3,10,35.0,0,29
0,2,2,0,0,1,1,2,31.0,1,29
0,2,1,0,0,1,3,6,33.0,1,29
1,2,1,0,0,1,3,8,40.0,0,29
1,2,2,0,0,1,1,7,40.0,1,29
1,2,1,0,0,1,3,9,28.0,2,29
0,0,1,0,0,1,1,2,25.0,1,29
1,2,2,1,1,1,3,9,48.0,1,29
0,2,2,1,1,1,3,10,43.0,0,29
1,2,1,0,0,1,1,5,29.0,1,29
0,1,2,1,0,1,3,9,36.0,2,29
1,2,0,1,1,1,3,10,34.0,1,29
1,2,1,0,0,1,1,7,33.0,1,28
0,2,2,0,0,1,0,1,49.0,1,29
0,2,2,0,0,1,3,10,32.0,0,29
1,2,1,0,0,1,3,5,40.0,0,29
1,1,1,1,1,1,1,8,28.0,1,28
1,2,2,0,1,1,3,8,46.0,1,29
1,1,1,0,0,1,3,5,20.0,1,8
0,2,2,1,1,1,3,9,30.0,1,29
1,0,0,0,0,1,1,8,44.0,0,29
1,0,1,0,0,1,3,8,35.0,1,29
1,0,1,1,1,1,3,10,35.0,1,28
1,2,1,0,0,1,1,4,30.0,1,29
1,0,0,0,1,1,1,10,22.0,0,29
1,2,2,0,0,1,1,5,41.0,1,29
1,0,0,0,0,1,1,5,32.0,1,29
1,2,0,0,0,1,1,7,48.0,1,29
1,2,1,0,1,1,1,9,32.0,1,8
0,0,0,0,0,0,2,5,30.0,1,29
0,2,1,1,1,1,3,10,45.0,0,29
1,1,1,0,0,1,2,5,32.0,2,28
0,0,1,0,1,0,3,10,30.0,1,29
1,2,1,0,0,1,3,3,32.0,1,29
1,2,1,0,1,1,3,5,37.0,0,29
1,2,1,0,0,1,1,10,30.0,1,29
1,1,1,0,0,1,2,6,35.0,0,28
1,2,0,0,1,1,1,9,37.0,1,29
1,1,1,1,0,1,2,7,26.0,1,28
1,2,1,0,0,1,2,9,50.0,1,29
1,0,1,0,0,0,2,2,32.0,1,29
1,0,2,0,0,1,1,9,32.0,1,29
1,1,1,0,0,0,1,9,23.0,1,29
1,0,2,0,1,1,2,6,40.0,0,29
1,0,0,0,0,1,1,2,36.0,1,29
1,2,0,0,1,1,1,5,29.0,0,29
1,2,0,0,0,1,1,6,28.0,1,29
1,1,0,1,0,0,1,7,51.0,1,29
1,0,0,0,0,1,1,5,36.0,1,29
1,2,2,0,0,1,1,7,40.0,1,29
1,2,2,0,0,1,2,2,39.0,1,3
1,0,0,0,0,1,1,6,32.0,0,19
0,1,1,0,0,1,2,0,45.0,1,29
1,0,0,0,0,1,1,7,39.0,1,29
1,2,2,0,1,1,3,7,46.0,1,29
1,0,0,0,0,0,0,7,34.0,1,29
1,0,1,0,0,1,1,7,30.0,1,7
1,1,1,1,0,0,3,10,31.0,1,29
1,2,1,0,0,1,3,7,28.0,1,29
0,2,1,1,1,1,2,3,32.0,1,28
1,0,0,0,0,1,0,2,39.0,1,29
1,2,2,1,1,1,1,6,45.0,0,29
1,2,2,1,1,1,2,8,36.0,0,29
1,2,1,0,1,1,3,8,26.0,1,29
1,0,1,0,0,1,0,5,55.0,0,29
1,2,1,0,1,1,2,4,40.0,2,29
0,0,1,0,1,1,3,2,27.0,0,29
0,2,2,0,1,1,3,7,45.0,0,29
1,1,1,0,0,1,3,7,34.0,0,29
0,0,1,0,0,1,1,8,31.0,1,29
0,2,0,0,0,1,2,9,40.0,1,29
0,2,1,1,1,1,1,10,41.0,1,29
1,0,0,0,0,0,1,4,39.0,1,29
1,2,0,0,0,1,1,7,39.0,1,29
1,0,0,0,0,1,1,9,37.0,1,29
0,2,1,0,0,1,1,8,32.0,1,7
1,0,0,0,0,1,1,5,24.0,1,7
1,1,0,0,1,1,1,7,40.0,0,7
1,2,2,1,0,1,1,7,49.0,1,28
0,0,1,1,1,1,3,10,28.0,1,29
1,1,0,1,1,1,2,10,22.0,1,29
1,2,2,0,0,1,1,8,41.0,1,29
1,1,0,0,0,1,2,7,36.0,1,29
1,0,0,0,0,1,1,6,32.0,1,29
0,0,1,0,0,1,3,8,23.0,1,29
1,2,0,1,1,1,3,10,53.0,1,29
1,2,1,1,1,1,3,8,34.0,1,29
0,1,1,0,1,1,2,2,30.0,1,29
1,0,0,0,0,0,3,8,30.0,1,29
1,2,2,0,1,1,3,10,22.0,0,29
1,0,1,1,1,1,3,8,27.0,0,29
1,2,1,1,1,1,3,8,33.0,0,29
1,2,2,0,0,1,1,3,28.0,1,29
1,2,0,0,0,1,2,7,36.0,1,29
1,0,0,0,1,1,2,10,25.0,0,29
0,1,1,0,0,1,0,2,30.0,0,29
0,2,2,0,0,1,1,10,39.0,1,29
1,2,1,1,1,1,2,10,31.0,2,29
0,2,2,0,0,1,0,7,48.0,1,29
1,0,0,0,0,1,1,7,43.0,1,29
1,2,1,0,0,1,0,5,35.0,1,29
0,2,1,0,1,1,2,10,31.0,0,29
1,0,0,0,0,1,1,5,27.0,1,29
1,0,0,0,0,1,1,6,28.0,1,29
1,2,2,0,0,1,2,4,43.0,0,29
1,2,1,0,0,1,3,5,31.0,0,29
1,2,0,0,1,1,1,7,37.0,1,29
1,2,1,1,1,1,3,9,36.0,1,29
1,2,2,0,1,1,3,8,42.0,0,29
1,2,2,0,0,1,1,9,29.0,0,29
1,2,2,0,1,1,3,10,41.0,0,29
1,2,0,0,1,1,1,6,53.0,1,29
1,0,0,0,0,0,0,1,44.0,1,29
0,2,2,0,0,1,1,9,37.0,0,29
1,2,0,1,1,1,3,7,57.0,0,29
1,2,2,0,0,1,1,2,47.0,1,29
1,2,2,0,0,1,1,9,34.0,1,29
1,2,1,1,0,1,3,7,29.0,1,29
0,0,1,0,1,1,2,8,38.0,1,29
1,0,0,0,1,1,1,8,41.0,1,28
1,2,1,1,1,1,3,10,40.0,1,29
1,2,1,1,0,1,2,2,30.0,1,29
1,2,0,0,0,1,3,3,29.0,1,29
0,2,1,0,0,1,1,2,46.0,1,29
1,2,2,1,1,1,3,7,29.0,1,29
1,2,0,0,0,1,1,8,55.0,1,29
1,2,1,0,0,1,3,6,29.0,2,6
0,2,2,0,0,1,0,5,37.0,1,29
1,2,2,1,1,1,3,8,45.0,1,29
0,1,1,0,0,1,3,7,31.0,1,8
0,0,0,0,0,1,2,2,26.0,1,8
0,2,1,0,1,1,3,9,35.0,1,3
0,2,2,0,0,1,3,8,47.0,1,29
1,2,0,0,0,1,3,8,37.0,1,29
1,2,0,0,1,1,3,8,37.0,1,29
1,2,2,0,0,1,3,8,36.0,1,29
1,2,1,0,0,1,2,6,45.0,1,29
0,0,0,0,0,1,1,6,30.0,1,29
1,1,1,0,0,1,1,7,46.0,1,8
1,0,0,1,0,1,3,0,44.0,1,3
1,2,0,0,0,1,2,5,32.0,1,29
1,2,2,1,1,1,2,5,19.0,1,0
0,0,0,0,0,1,3,2,38.0,1,28
1,1,1,0,0,0,3,2,61.0,1,29
1,2,0,0,1,1,1,8,44.0,1,29
0,2,2,0,0,1,1,8,31.0,1,12
1,0,1,0,0,1,3,9,44.0,1,29
0,0,1,1,0,1,3,10,39.0,1,29
0,0,1,0,0,0,0,0,39.0,1,29
1,2,2,1,1,1,3,8,33.0,1,29
1,0,1,1,0,1,1,0,42.0,1,29
0,2,2,0,0,1,3,10,35.0,1,29
1,2,2,0,1,1,1,5,28.0,0,29
1,2,0,1,1,1,3,10,37.0,1,29
1,0,1,0,0,1,3,7,35.0,0,29
1,0,0,0,1,0,1,5,31.0,1,29
1,2,1,0,0,1,1,5,27.0,0,29
1,2,2,1,1,1,1,9,36.0,1,29
1,0,0,1,0,0,1,8,33.0,1,29
0,2,2,1,1,1,1,3,26.0,1,29
